# Copyright 1985-1997 Adobe Systems Incorporated. All rights reserved.
#
# This file and the 14 PostScript(R) AFM files it accompanies may be used, copied, and distributed
# for any purpose and without charge, with or without modification, provided that all copyright
# notices are retained; that the AFM files are not distributed without this file; that all
# modifications to this file or any of the AFM files are prominently noted in the modified
# file(s); and that this paragraph is not modified. Adobe Systems has no responsibility or
# obligation to support the use of the AFM files.
#
# MODIFICATION NOTICE: this file is not an Adobe AFM. It is a derived numeric table extracted from
# Helvetica.afm / Times-Roman.afm as distributed with matplotlib (mpl-data/fonts/pdfcorefonts),
# generated by scripts/gen_font_metrics.py. Only the glyphs chython labels need are kept, and only
# the advance width and bounding box of each.
#
# Generated by scripts/gen_font_metrics.py from Helvetica.afm. Do not hand-edit.
# Units are 1/1000 em. `char` is the character the glyph encodes, or - when it encodes none.
char	name	wx	llx	lly	urx	ury
-	perthousand	1000	7	-19	994	703
+	plus	584	39	0	545	505
±	plusminus	584	39	0	545	506
q	q	556	35	-207	494	538
?	question	556	56	0	492	727
-	questiondown	611	91	-201	527	525
"	quotedbl	355	70	463	285	718
-	quotedblbase	333	26	-149	295	106
-	quotedblleft	333	38	470	307	725
-	quotedblright	333	26	463	295	718
‘	quoteleft	222	65	470	169	725
’	quoteright	222	53	463	157	718
-	quotesinglbase	222	53	-149	157	106
-	quotesingle	191	59	463	132	718
r	r	333	77	0	332	538
-	racute	333	77	0	332	734
-	radical	453	-4	-80	458	762
-	rcaron	333	61	0	352	734
-	rcommaaccent	333	77	-225	332	538
-	registered	737	-14	-19	752	737
-	ring	333	75	572	259	756
s	s	500	32	-15	464	538
-	sacute	500	32	-15	464	734
-	scaron	500	32	-15	464	734
-	scedilla	500	32	-225	464	538
-	scommaaccent	500	32	-225	464	538
-	section	556	43	-191	512	737
;	semicolon	278	87	-147	191	516
7	seven	556	37	0	523	688
6	six	556	38	-19	518	703
/	slash	278	-17	-19	295	737
 	space	278	0	0	0	0
-	sterling	556	33	-16	539	718
-	summation	600	15	-10	586	706
t	t	278	14	-7	257	669
-	tcaron	317	14	-7	329	808
-	tcommaaccent	278	14	-225	257	669
-	thorn	556	58	-207	517	718
3	three	556	34	-19	522	703
-	threequarters	834	45	-19	810	703
-	threesuperior	333	5	270	325	703
-	tilde	333	-4	606	337	722
-	trademark	1000	46	306	903	718
2	two	556	26	0	507	703
-	twosuperior	333	4	281	323	703
u	u	556	68	-15	489	523
-	uacute	556	68	-15	489	734
-	ucircumflex	556	68	-15	489	734
-	udieresis	556	68	-15	489	706
-	ugrave	556	68	-15	489	734
-	uhungarumlaut	556	68	-15	521	734
-	umacron	556	68	-15	489	684
_	underscore	556	0	-125	556	-75
-	uogonek	556	68	-225	519	523
-	uring	556	68	-15	489	756
v	v	500	8	0	492	523
w	w	722	14	0	709	523
x	x	500	11	0	490	523
y	y	500	11	-214	489	523
-	yacute	500	11	-214	489	734
-	ydieresis	500	11	-214	489	706
-	yen	556	3	0	553	688
z	z	500	31	0	469	523
-	zacute	500	31	0	469	734
-	zcaron	500	31	0	469	734
-	zdotaccent	500	31	0	469	706
0	zero	556	37	-19	519	703
